Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,PrimeCPP,3,flo80_constexpr,48308,5.00008,1,base,no,1,9661.43769
2,PrimeC,2,danielspaangberg_5760of30030_owrb,26999,5.00002,1,wheel,yes,1,5399.78056
3,PrimeCPP,3,flo80_constexpr,105184,5.00003,4,base,no,1,5259.17265
4,PrimeC,2,danielspaangberg_480of2310_owrb,23276,5.00012,1,wheel,yes,1,4655.09293
5,PrimeC,2,danielspaangberg_48of210_owrb,18720,5.00019,1,wheel,yes,1,3743.85474
6,PrimeC,1,mckoss-c830,17790,5.00000,1,wheel,yes,1,3558.00000
7,PrimeC,2,danielspaangberg_8of30_owrb,15263,5.00024,1,wheel,yes,1,3052.45348
8,PrimeC,2,danielspaangberg_48of210,14523,5.00037,1,wheel,yes,1,2904.38566
9,PrimeLisp,2,mayerrobert-cl-wheel,14365,5.00000,1,wheel,no,1,2873.00000
10,PrimeC,2,danielspaangberg_8of30,12707,5.00014,1,wheel,yes,1,2541.32833
11,PrimeCSharp,1,kinematics_pool30m,12698,5.00005,1,wheel,yes,1,2539.57460
12,PrimeC,2,danielspaangberg_480of2310_epar,48544,5.00069,4,wheel,yes,1,2426.86364
13,PrimeC,2,danielspaangberg_5760of30030_epar,45837,5.00061,4,wheel,yes,1,2291.56860
14,PrimeC,2,danielspaangberg_48of210_epar,40432,5.00083,4,wheel,yes,1,2021.26609
15,PrimeC,2,danielspaangberg_8of30_epar,33991,5.00093,4,wheel,yes,1,1699.23462
16,PrimeC,2,danielspaangberg_1of2,8277,5.00027,1,base,yes,1,1655.30929
17,PrimeCSharp,1,kinematics_pool30,8032,5.00027,1,wheel,yes,1,1606.31326
18,PrimeJulia,3,louie-github_port_1of2,7287,5.00003,1,base,yes,1,1457.39062
19,PrimeZig,2,ManDeJan&ityonemo-zig-bit-sieve,7231,5.00023,1,base,yes,1,1446.13348
20,PrimeRust,1,mike-barber_bit-storage-rotate,7011,5.00045,1,base,yes,1,1402.07364
21,PrimeRust,1,mike-barber_bit-storage,6916,5.00073,1,base,yes,1,1382.99781
22,PrimeCSharp,1,kinematics_pool2of6,6868,5.00065,1,wheel,yes,1,1373.42146
23,PrimeFortran,2,tjol-bits,6536,5.00012,1,base,yes,1,1307.16859
24,PrimeHaskell,1,fatho/bitset_unchecked,6354,5.00059,1,base,no,1,1270.65133
25,PrimeCPP,1,davepl,6266,5.00067,1,base,yes,1,1253.03285
26,PrimeRust,1,mike-barber_bit-storage-rotate,24657,5.00090,4,base,yes,1,1232.62830
27,PrimeRust,1,mike-barber_bit-storage,24468,5.00079,4,base,yes,1,1223.20717
28,PrimeGo,2,ssovest-go,5987,5.00190,1,base,yes,1,1196.94603
29,PrimeFortran,1,johandweber_fortran,5924,5.00000,1,base,no,1,1184.80000
30,PrimeNim,2,beef331,5895,5.00027,1,base,yes,1,1178.93603
31,PrimeRust,1,mike-barber_byte-storage,5891,5.00035,1,base,yes,8,1178.11720
32,PrimeJulia,2,epithet-jl,5888,5.00050,1,base,yes,1,1177.48204
33,PrimeFortran,2,tjol-8bit,5885,5.00056,1,base,yes,8,1176.86768
34,PrimeZig,2,ManDeJan&ityonemo-zig-byte-sieve-type-bool,5845,5.00039,1,base,yes,8,1168.90883
35,PrimeHaskell,1,fatho/bitset,5841,5.00002,1,base,no,1,1168.19626
36,PrimeCrystal,1,marghidanu,5552,5.00042,1,base,yes,1,1110.30607
37,PrimeC,2,danielspaangberg_1of2_epar,22185,5.00115,4,base,yes,1,1108.99537
38,PrimeRust,1,mike-barber_byte-storage,21931,5.00062,4,base,yes,8,1096.41302
39,PrimeAssembly,1,rbergen_x64uff_byte,5433,5.00000,1,base,no,8,1086.60000
40,PrimeAssembly,1,rbergen_x64uff_bitshift,5279,5.00000,1,base,no,1,1055.80000
41,PrimeAssembly,1,rbergen_x64ff_bitshift,5213,5.00000,1,base,yes,1,1042.60000
42,PrimeC,2,danielspaangberg_5760of30030_par,20418,5.00010,4,wheel,yes,1,1020.87938
43,PrimeC,2,danielspaangberg_480of2310_par,19894,5.00014,4,wheel,yes,1,994.67255
44,PrimeC,2,danielspaangberg_48of210_par,19360,5.00007,4,wheel,yes,1,967.98684
45,PrimeV,1,marghidanu,4799,5.00000,1,base,yes,,959.80000
46,PrimeC,2,danielspaangberg_8of30_par,18764,5.00018,4,wheel,yes,1,938.16548
47,PrimeCSharp,1,kinematics_pool,4684,5.00012,1,base,yes,1,936.77752
48,PrimeCSharp,3,tannergooding,4672,5.00042,1,base,yes,1,934.32215
49,PrimeCython,1,rpkak,4651,5.00047,1,base,yes,8,930.11249
50,PrimeAssembly,1,rbergen_x64ff_byte,4635,5.00000,1,base,yes,8,927.00000
51,PrimeHaskell,1,fatho/vector_unchecked,4611,5.00070,1,base,no,8,922.07073
52,PrimeCSharp,1,kinematics_dbool,4602,5.00094,1,base,yes,,920.22700
53,PrimeJava,1,MansenC,4575,5.00000,1,base,yes,,915.00000
